Universitat;Grau;Privat o concertat;Public
UAB;Administració i Direcció d'Empreses;3209;6651
UAB;Antropologia Social i Cultural;2174;7826
UAB;Arqueologia;20;7778
UAB;Biologia;3548;6452
UAB;Biologia Ambiental;2742;7097
UAB;Bioquímica;434;5283
UAB;Biotecnologia;5734;4267
UAB;Ciència i Tecnologia dels Aliments;3594;6094
UAB;Ciència Política i Gestió Pública;3855;6024
UAB;Ciències Ambientals;2758;7069
UAB;Ciències Biomèdiques;4906;4528
UAB;Ciències de l'Antiguitat;1458;8333
UAB;Comptabilitat i Finances;4117;5809
UAB;Comunicació Audiovisual;4027;5833
UAB;Comunicació de les Organitzacions;3393;6607
UAB;Comunicació Interactiva;4035;5614
UAB;Criminologia;3529;6324
UAB;Dret;3265;6531
UAB;Economia;2983;6667
UAB;Educació Infantil;28;72
UAB;Educació Primària;2681;7149
UAB;Educació Social;2254;7606
UAB;Empresa i Tecnologia;3866;5867
UAB;Enginyeria de Dades;431;569
UAB;Enginyeria de Sistemes de Telecomunicació / Enginyeria Electrònica de Telecomunicació (agrupació);371;629
UAB;Enginyeria Informàtica;3297;6648
UAB;Enginyeria Química;274;7123
UAB;Estadística Aplicada;2381;7619
UAB;Estudis Anglesos;2222;7222
UAB;Estudis d'Àsia Oriental;3867;6133
UAB;Estudis Socioculturals de Gènere;2884;6923
UAB;Filosofia;2535;7465
UAB;Física;3636;6212
UAB;Fisioteràpia;3099;6761
UAB;Genètica;4107;5714
UAB;Geografia Medi Ambient i Planificació Territorial;2322;7679
UAB;Geologia;2174;7826
UAB;Gestió Aeronàutica;3793;6207
UAB;Gestió de Ciutats Intel·ligents i Sostenibles;2167;70
UAB;GRADUAT EN ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES I GRADUAT EN DRET;4405;5595
UAB;Història;2671;726
UAB;Història de l'Art;2133;7733
UAB;Humanitats;3728;5932
UAB;Infermeria;3125;65
UAB;Llengua i Literatura Espanyoles;2045;7727
UAB;Logopèdia;4027;5694
UAB;Matemàtica Computacional i Analítica de Dades;2727;7045
UAB;Matemàtiques;2879;7121
UAB;Medicina;5921;3509
UAB;Microbiologia;2812;6406
UAB;Musicologia;4912;4912
UAB;Nanociència i Nanotecnologia;3333;6667
UAB;Pedagogia;1945;7639
UAB;Periodisme;4374;55
UAB;Psicologia;3895;5951
UAB;Publicitat i Relacions Públiques;3924;5696
UAB;Química;2632;7368
UAB;Relacions Internacionals;5714;4286
UAB;Relacions Laborals;213;7685
UAB;Sociologia;2059;7843
UAB;Traducció i Interpretació;3799;5978
UAB;Veterinària;4632;5368
UB;Administració i Direcció d'Empreses;558;4232
UB;ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES - DRET;5741;4259
UB;Antropologia Social i Cultural;3863;5909
UB;Arqueologia;4146;5366
UB;Belles Arts;3403;6515
UB;Biologia;4965;5035
UB;Bioquímica;40;60
UB;Biotecnologia;6184;3816
UB;Ciència i Tecnologia dels Aliments;4058;5797
UB;Ciències Ambientals;4138;5517
UB;Ciències Biomèdiques;5035;4897
UB;Ciències del Mar;3273;6364
UB;Ciències Polítiques i de l'Administració;4574;5213
UB;Comunicació Audiovisual;38;62
UB;Comunicació i Industries Culturals;5242;4563
UB;Conservació - Restauració de Béns Culturals;4445;50
UB;Criminologia;3769;6077
UB;Disseny;4186;5581
UB;Dret;5397;4548
UB;Economia;4766;4648
UB;Educació Social;3667;6267
UB;Empresa Internacional;5429;4571
UB;Enginyeria Biomèdica;6342;3171
UB;Enginyeria de Materials;3529;5882
UB;Enginyeria Electrònica de Telecomunicació;3784;5946
UB;Enginyeria Informàtica;4193;5484
UB;Enginyeria Química;4925;5075
UB;Estadística;4727;4909
UB;Estudis Anglesos;4167;575
UB;Estudis Literaris;3456;6296
UB;Farmàcia;5317;4648
UB;Filologia Catalana;2727;7045
UB;Filologia Clàssica;20;80
UB;Filologia Hispànica;3764;5591
UB;Filosofia;4867;5133
UB;Física;4914;4855
UB;Geografia;4412;5588
UB;Geologia;3019;6792
UB;Gestió d'Informació i Documentació Digital;3421;6579
UB;Gestió i Administració Pública;4099;5902
UB;Història;4627;5174
UB;Història de l'Art;4231;5692
UB;Infermeria;4727;5177
UB;Llengües i Literatures Modernes;2466;6712
UB;Matemàtiques;5211;4225
UB;Medicina;6794;2919
UB;Mestre d'Educació Infantil;4239;5761
UB;MESTRE D'EDUCACIÓ INFANTIL - MESTRE D'EDUCACIÓ PRIMÀRIA;4048;5714
UB;Mestre d'Educació Primària;4257;5743
UB;Nutrició Humana i Dietètica;434;5094
UB;Odontologia;5422;4458
UB;Pedagogia;4481;5377
UB;Podologia;4426;5082
UB;Psicologia;5587;4286
UB;Química;4444;5507
UB;Relacions Laborals;3851;6096
UB;Sociologia;4404;5505
UB;Treball Social;4327;5673
UdG;Administració i Direcció d'Empreses;1531;8367
UdG;Biologia;3132;6747
UdG;Biotecnologia;2222;7778
UdG;Ciències Ambientals;2364;7273
UdG;Ciències Polítiques i de l'Administració;25;7321
UdG;Comptabilitat i Finances;1679;8168
UdG;Comunicació Cultural;1458;8542
UdG;Criminologia;2364;7636
UdG;Disseny i Desenvolupament de Videojocs;3077;6923
UdG;DOBLE TITULACIÓ GRAU EN MESTRE EDUCACIÓ INFANTIL/ GRAU EN MESTRE EDUCACIÓ PRIMÀRIA;16;84
UdG;Dret;2734;7133
UdG;Economia;1556;8444
UdG;Educació Social;364;9273
UdG;Enginyeria Agroalimentària;1613;8387
UdG;Enginyeria Biomèdica;3333;6667
UdG;Enginyeria Electrònica Industrial i Automàtica;1562;8438
UdG;Enginyeria en Tecnologies Industrials;2794;7059
UdG;Enginyeria Informàtica;2435;7565
UdG;Enginyeria Mecànica;2048;7952
UdG;Enginyeria Química;286;8857
UdG;Estudis d'Arquitectura;2195;7805
UdG;Història;2407;7593
UdG;Història de l'Art;2258;7742
UdG;Infermeria;3658;6179
UdG;Llengua i Literatura Espanyoles;1316;8684
UdG;Medicina;6389;2917
UdG;Mestre d'Educació Infantil;141;8462
UdG;Mestre d'Educació Primària;723;9157
UdG;Pedagogia;1148;8689
UdG;Psicologia;2985;7015
UdG;Publicitat i Relacions Públiques;191;7978
UdG;Química;1724;8276
UdG;Treball Social;228;7544
UdG;Turisme;1413;8587
UdL;Administració i Direcció d'Empreses;3464;6457
UdL;Biotecnologia;4222;5333
UdL;Ciència i Tecnologia dels Aliments;1765;7941
UdL;Ciències Biomèdiques;6765;2647
UdL;Comunicació i Periodisme Audiovisuals;2561;7195
UdL;Disseny Digital i Tecnologies Creatives;4167;5278
UdL;DOBLE TITULACIÓ: GRAU EN EDUCACIÓ INFANTIL I GRAU EN EDUCACIÓ PRIMÀRIA (18);1842;8158
UdL;DOBLE TITULACIÓ: GRAU EN VETERINÀRIA I GRAU EN CIÈNCIA I PRODUCCIÓ ANIMAL;3157;5965
UdL;Dret;3177;6471
UdL;Educació Infantil;32;68
UdL;Educació Primària;2223;7778
UdL;Educació Social;1299;8312
UdL;Enginyeria Agrària i Alimentària;3654;5962
UdL;Enginyeria de l'Energia i Sostenibilitat / Enginyeria en Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació);3182;6545
UdL;Enginyeria Informàtica;3166;6333
UdL;Història;1429;8571
UdL;Infermeria;375;6023
UdL;Medicina;7384;1692
UdL;Nutrició Humana i Dietètica;50;4444
UdL;Psicologia;25;7045
UdL;Treball Social;1857;80
UPC;Arquitectura Tècnica i Edificació;41;58
UPC;Ciència i Enginyeria de Dades;5455;4545
UPC;Ciències i Tecnologies del Mar;4108;5536
UPC;Enginyeria Alimentària;4517;5161
UPC;Enginyeria Biomèdica;6667;3095
UPC;Enginyeria Civil;50;4783
UPC;Enginyeria d'Automoció;4424;5577
UPC;Enginyeria de Disseny Industrial i Desenvolupament del Producte;5108;4892
UPC;Enginyeria de l'Energia;3898;5763
UPC;Enginyeria de Materials;5135;4324
UPC;Enginyeria de Sistemes Aeroespacials;4019;5888
UPC;Enginyeria de Sistemes Audiovisuals;4318;5455
UPC;Enginyeria de Sistemes Biològics;2631;7368
UPC;Enginyeria de Sistemes TIC;312;875
UPC;Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació);4658;5342
UPC;Enginyeria de Tecnologies i Serveis de Telecomunicació;4787;5106
UPC;Enginyeria Elèctrica;3555;6111
UPC;Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació);2907;686
UPC;Enginyeria Electrònica de Telecomunicació;4419;5349
UPC;Enginyeria Electrònica Industrial i Automàtica;4313;5688
UPC;Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació);1538;8077
UPC;Enginyeria en Sistemes i Tecnologia Naval;5818;40
UPC;Enginyeria en Tecnologies Aeroespacials;6206;3448
UPC;Enginyeria en Tecnologies Industrials;7099;2775
UPC;Enginyeria en Vehicles Aeroespacials;4545;5455
UPC;Enginyeria Informàtica;5122;4823
UPC;Enginyeria Mecànica;4445;5488
UPC;Enginyeria Química;4492;5424
UPC;Estudis d'Arquitectura;5547;4297
UPC;GRAU EN ENGINYERIA DE SISTEMES AEROESPACIALS/GRAU EN ENGINYERIA DE SISTEMES DE TELECOMUNICACIÓ - ENGINYERIA TELEMÀTICA (AGRUPACIÓ DE SIMULTANEÏTAT);40;575
UPC;Nàutica i Transport Marítim;5946;3784
UPC;Òptica i Optometria;3066;68
UPC;Tecnologies Industrials i Anàlisi Econòmica / Industrial Technologies and Economic Analysis;7778;2037
UPF;Administració i Direcció d'Empreses;605;3333
UPF;Biologia Humana;6111;3704
UPF;Ciències Empresarials-Management;5357;4643
UPF;Ciències Polítiques i de l'Administració;5291;4387
UPF;Comunicació Audiovisual;3553;6184
UPF;Criminologia i Polítiques Públiques de Prevenció;527;4324
UPF;DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES / ECONOMIA;7684;2105
UPF;Dret;6367;359
UPF;Economia;6135;3804
UPF;Enginyeria Biomèdica;4054;5135
UPF;Enginyeria de Xarxes de Telecomunicació;4324;4865
UPF;Enginyeria en Informàtica;5283;4528
UPF;Enginyeria en Sistemes Audiovisuals;4815;4815
UPF;Enginyeria Matemàtica en Ciència de Dades / Mathematical Engineering on Data Science;60;3714
UPF;Estudis Globals / Global Studies;3714;60
UPF;Estudis Internacionals d'Economia i Empresa / International Business Economics;5682;3864
UPF;Filosofia Política i Economia;6452;3226
UPF;Humanitats;4683;5063
UPF;Llengües Aplicades;5511;449
UPF;Medicina;6171;2766
UPF;Periodisme;3662;5915
UPF;Publicitat i Relacions Públiques;6216;3784
UPF;Relacions Laborals;4909;497
UPF;Traducció i Interpretació;3893;5878
URV;Administració i Direcció d'Empreses;2029;7826
URV;Anglès;1837;7959
URV;Antropologia i Evolució Humana;3659;6341
URV;Arquitectura;2449;6939
URV;Bioquímica i Biologia Molecular;4359;4615
URV;Biotecnologia;3529;5588
URV;Comunicació Audiovisual;2353;7647
URV;DOBLE TITULACIÓ DE GRAU D'ADE I FINANCES I COMPTABILITAT (2014);303;697
URV;DOBLE TITULACIÓ DE GRAU D'EDUCACIÓ INFANTIL I D'EDUCACIÓ PRIMÀRIA AMB MENCIÓ D'ANGLÈS(2013);2903;7097
URV;Dret;1927;7798
URV;Economia;2143;7619
URV;Educació Infantil;1973;8027
URV;Educació Primària;1619;8381
URV;Educació Social;1304;8696
URV;Enginyeria de Sistemes i Serveis de Telecomunicacions;1765;7941
URV;Enginyeria Electrònica Industrial i Automàtica;2187;75
URV;Enginyeria Informàtica;1507;8493
URV;Enginyeria Mecànica;2203;7627
URV;Enginyeria Química;1409;8592
URV;Finances i Comptabilitat;1478;8182
URV;Fisioteràpia;4355;5323
URV;Gestió en Turisme i Hoteleria;1372;8431
URV;Història / Història de l'Art i Arqueologia (Agrupació);254;746
URV;Infermeria;5613;4065
URV;Medicina;6292;2809
URV;Nutrició Humana i Dietètica;40;60
URV;Pedagogia;2727;7273
URV;Periodisme;2439;7561
URV;Psicologia;221;7263
URV;Publicitat i Relacions Públiques;2572;7429
URV;Química;2553;7447
URV;Relacions Laborals i Ocupació;1154;8846
URV;Treball Social;1625;825
Total general;NA;4063;5819
